분기,시군구명,서비스업종코드,서비스업종,매출등급,개업수,폐업수,개업률,폐업률,1년생존률,3년생존률,5년생존률,최근10년영업기간,최근30년영업기간
1,영등포구,CS100005,제과제빵,3.0,10,8,3.9,3.1,81.4,62.5,29.5,3년,4.5년
1,영등포구,CS100006,패스트푸드,3.0,11,10,4.1,3.7,81.1,56.8,38.3,3년,4.4년
1,영등포구,CS100007,치킨,3.0,6,5,2.2,1.9,72.1,43.2,27.1,2.5년,4.7년
1,영등포구,CS100008,분식,3.0,24,19,3.3,2.6,65.5,49.5,34.3,2.5년,3.8년
1,영등포구,CS100009,주점,3.0,10,15,1.9,2.8,74.0,45.3,19.6,2.7년,4.3년
1,영등포구,CS100010,커피,3.0,44,30,4.0,2.7,83.1,53.3,36.6,2.8년,3.7년
1,용산구,CS100001,한식,3.0,50,28,2.7,1.5,83.2,58.8,38.5,3.1년,5.2년
1,용산구,CS100002,중식,3.0,3,6,1.7,3.5,86.4,71.4,47.6,3.1년,5.6년
1,용산구,CS100003,일식,3.0,5,5,1.9,1.9,81.4,54.5,20.5,2.8년,4.3년
1,용산구,CS100004,기타 외국식,3.0,21,10,2.6,1.3,86.9,62.0,41.2,2.9년,4년
1,용산구,CS100005,제과제빵,3.0,7,4,2.9,1.7,93.3,50.0,26.7,3년,4.7년
1,용산구,CS100006,패스트푸드,3.0,5,4,2.2,1.8,80.0,62.9,33.3,3년,4.6년
1,용산구,CS100007,치킨,3.0,2,3,1.5,2.2,80.0,47.6,21.4,2.8년,5년
1,용산구,CS100008,분식,3.0,18,12,3.4,2.3,75.9,33.7,25.4,2.5년,4년
1,용산구,CS100009,주점,3.0,7,8,2.2,2.5,86.8,35.8,22.9,3년,4.8년
1,용산구,CS100010,커피,3.0,37,23,4.7,2.9,81.1,52.8,36.2,2.8년,3.6년
1,은평구,CS100001,한식,3.0,43,50,2.0,2.3,79.2,56.3,34.1,2.6년,4.6년
1,은평구,CS100002,중식,3.0,10,8,6.2,4.9,66.7,45.8,33.3,2.5년,4.5년
1,은평구,CS100003,일식,3.0,11,3,5.8,1.6,90.0,56.3,25.0,2.5년,3.7년
1,은평구,CS100004,기타 외국식,2.0,3,7,1.8,4.2,75.7,63.3,41.7,2.3년,3.4년
1,은평구,CS100005,제과제빵,3.0,7,5,3.3,2.4,89.7,55.6,46.3,2.8년,4.6년
1,은평구,CS100006,패스트푸드,3.0,4,4,1.9,1.9,81.0,54.1,39.5,2.6년,4.2년
1,은평구,CS100007,치킨,3.0,15,7,5.6,2.6,70.4,24.3,24.6,2.3년,4.1년
1,은평구,CS100008,분식,3.0,22,11,4.2,2.1,67.0,39.8,26.7,2.4년,3.7년
1,은평구,CS100009,주점,3.0,6,11,1.7,3.1,73.8,36.0,12.8,2.6년,4.3년
1,은평구,CS100010,커피,3.0,37,23,5.9,3.6,79.5,41.7,34.1,2.5년,3.2년
1,종로구,CS100001,한식,3.0,42,55,1.4,1.9,85.7,61.1,45.3,3.1년,5.6년
1,종로구,CS100002,중식,3.0,6,9,2.9,4.3,95.2,41.0,34.2,2.8년,5.3년
1,종로구,CS100003,일식,3.0,7,5,2.3,1.7,94.4,51.3,33.9,2.9년,4.8년
1,종로구,CS100004,기타 외국식,3.0,9,18,1.7,3.4,85.5,58.2,34.9,3년,4.5년
1,종로구,CS100005,제과제빵,3.0,11,2,4.4,0.8,87.1,63.2,29.3,2.9년,4.7년
1,종로구,CS100006,패스트푸드,3.0,4,4,1.5,1.5,85.4,61.2,50.0,3.4년,4.8년
1,종로구,CS100007,치킨,3.0,3,3,2.3,2.3,81.0,50.0,20.0,2.7년,5.5년
1,종로구,CS100008,분식,3.0,21,19,3.0,2.7,74.0,50.0,24.4,2.6년,4.5년
1,종로구,CS100009,주점,3.0,6,11,1.4,2.6,81.1,44.0,28.8,3.2년,5.1년
1,종로구,CS100010,커피,3.0,44,31,3.7,2.6,81.0,58.6,45.3,3년,4.2년
1,중구,CS100001,한식,3.0,37,58,1.3,2.1,87.3,60.2,39.1,3.1년,5.8년
1,중구,CS100002,중식,3.0,4,3,1.5,1.1,88.5,63.5,51.4,3.1년,5.1년
1,중구,CS100003,일식,3.0,4,6,1.4,2.1,100.0,53.8,31.3,2.9년,5년
1,중구,CS100004,기타 외국식,3.0,4,5,0.9,1.2,89.7,64.3,38.4,3년,4.6년
1,중구,CS100005,제과제빵,3.0,3,9,1.2,3.7,88.0,52.5,34.1,3년,5년
1,중구,CS100006,패스트푸드,3.0,4,4,1.7,1.7,84.8,53.1,40.7,3.1년,4.7년
1,중구,CS100007,치킨,3.0,2,7,1.4,4.8,73.3,50.0,29.0,3년,5.8년
1,중구,CS100008,분식,3.0,13,15,1.7,2.0,68.8,40.8,35.3,2.7년,4.4년
1,중구,CS100009,주점,3.0,5,14,1.6,4.6,84.2,52.3,28.8,3년,5년
1,중구,CS100010,커피,3.0,42,26,3.9,2.4,86.3,50.0,34.1,2.8년,4.1년
1,중랑구,CS100001,한식,3.0,42,49,1.9,2.2,78.9,50.5,33.3,2.7년,4.5년
1,중랑구,CS100002,중식,3.0,3,2,2.8,1.8,66.7,37.0,30.8,2.3년,4.1년
1,중랑구,CS100003,일식,2.0,7,4,5.0,2.9,81.3,61.5,61.1,2.7년,3.8년
1,중랑구,CS100004,기타 외국식,2.0,8,3,6.3,2.4,100.0,41.2,44.4,2.5년,3.6년
1,중랑구,CS100005,제과제빵,3.0,5,6,3.4,4.1,77.1,46.4,22.6,2.4년,4.4년
1,중랑구,CS100006,패스트푸드,3.0,7,3,4.2,1.8,80.6,56.7,48.0,2.7년,4년
1,중랑구,CS100007,치킨,3.0,10,13,4.1,5.4,77.3,28.1,23.7,2.2년,3.9년
1,중랑구,CS100008,분식,2.0,19,9,4.9,2.3,65.9,37.3,19.2,2.4년,3.8년
1,중랑구,CS100009,주점,3.0,7,7,2.0,2.0,66.0,33.9,10.1,2.5년,4년
1,중랑구,CS100010,커피,3.0,25,16,5.3,3.4,75.9,46.7,26.6,2.5년,3.1년
2,강남구,CS100001,한식,4.0,174,160,3.3,3.0,78.8,52.4,35.2,2.7년,4.6년
2,강남구,CS100002,중식,4.0,22,14,4.7,3.0,70.5,52.1,34.8,2.7년,4.7년
2,강남구,CS100003,일식,4.0,29,14,3.0,1.5,85.7,64.9,45.2,2.9년,4.2년
2,강남구,CS100004,기타 외국식,3.0,64,33,4.3,2.2,85.3,51.6,32.1,2.6년,3.7년
2,강남구,CS100005,제과제빵,3.0,23,23,4.4,4.4,84.9,53.8,35.8,3년,4.4년
2,강남구,CS100006,패스트푸드,3.0,16,12,2.6,1.9,79.0,55.3,37.4,2.9년,4.4년
