분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
4,동작구,제과제빵,85.7,50,35.7
4,관악구,제과제빵,73.2,56.4,32.3
4,서초구,제과제빵,85.5,68.3,45.6
4,강남구,제과제빵,87,50.6,38.8
4,송파구,제과제빵,77.9,38.9,26.3
4,강동구,제과제빵,84.9,27.5,46.7
1,종로구,패스트푸드,85.4,61.2,50
1,중구,패스트푸드,84.8,53.1,40.7
1,용산구,패스트푸드,80,62.9,33.3
1,성동구,패스트푸드,84.2,44.7,38.5
1,광진구,패스트푸드,69.7,57.1,47.2
1,동대문구,패스트푸드,80.6,54.5,45.7
1,중랑구,패스트푸드,80.6,56.7,48
1,성북구,패스트푸드,78.7,58.1,40.9
1,강북구,패스트푸드,77.1,54.8,31.8
1,도봉구,패스트푸드,75,68.4,38.9
1,노원구,패스트푸드,84.1,46.7,34.9
1,은평구,패스트푸드,81,54.1,39.5
1,서대문구,패스트푸드,86.8,53.8,41.9
1,마포구,패스트푸드,88.5,45.7,31.3
1,양천구,패스트푸드,76.9,55.2,21.2
1,강서구,패스트푸드,81.8,59,30.2
1,구로구,패스트푸드,89.2,46.7,28.6
1,금천구,패스트푸드,86.7,65.2,50
1,영등포구,패스트푸드,81.1,56.8,38.3
1,동작구,패스트푸드,87.8,48.9,33.3
1,관악구,패스트푸드,66.7,43.5,39.1
1,서초구,패스트푸드,87.5,70.3,33.3
1,강남구,패스트푸드,81.4,54,35.9
1,송파구,패스트푸드,82.4,57.3,34.7
1,강동구,패스트푸드,77.2,55.3,35
2,종로구,패스트푸드,83.3,63,55.8
2,중구,패스트푸드,87.5,47.5,42.4
2,용산구,패스트푸드,86.8,64.7,42.5
2,성동구,패스트푸드,81.3,42.1,37.5
2,광진구,패스트푸드,78.4,60,40.6
2,동대문구,패스트푸드,81.1,55,40
2,중랑구,패스트푸드,76.9,59.4,41.9
2,성북구,패스트푸드,82.1,62.5,39.3
2,강북구,패스트푸드,78.1,57.1,33.3
2,도봉구,패스트푸드,79.2,77.8,43.8
2,노원구,패스트푸드,88.7,39.6,30.2
2,은평구,패스트푸드,78,51.7,35.7
2,서대문구,패스트푸드,90,57.6,38.9
2,마포구,패스트푸드,85.7,46.3,31.6
2,양천구,패스트푸드,79.2,42.4,19.4
2,강서구,패스트푸드,88,51.7,31.9
2,구로구,패스트푸드,93.8,55.2,30.4
2,금천구,패스트푸드,78.8,56,60
2,영등포구,패스트푸드,82.5,57.1,35.4
2,동작구,패스트푸드,90.9,54.3,30.8
2,관악구,패스트푸드,72.9,45.8,32.7
2,서초구,패스트푸드,81.4,67.6,34.1
2,강남구,패스트푸드,79,55.3,37.4
2,송파구,패스트푸드,86.7,60.6,33.8
2,강동구,패스트푸드,76.3,45.5,36.8
3,종로구,패스트푸드,73.2,60.4,62.3
3,중구,패스트푸드,87.9,40,33.3
3,용산구,패스트푸드,87.2,60,44.4
3,성동구,패스트푸드,83.3,53.5,30
3,광진구,패스트푸드,73.5,64.3,36.8
3,동대문구,패스트푸드,79.1,62.5,39.5
3,중랑구,패스트푸드,84.6,53.3,37.9
3,성북구,패스트푸드,77.2,60.6,36.7
3,강북구,패스트푸드,75.6,58.3,45.5
3,도봉구,패스트푸드,81,68.8,53.3
3,노원구,패스트푸드,82.5,39.5,31.9
3,은평구,패스트푸드,83,45.5,36.2
3,서대문구,패스트푸드,78,67.9,40.6
3,마포구,패스트푸드,79.8,50,32.9
3,양천구,패스트푸드,74.1,46.9,29.7
3,강서구,패스트푸드,81.1,44.4,38.3
3,구로구,패스트푸드,94.3,51.7,37.9
3,금천구,패스트푸드,73.1,62.1,47.1
3,영등포구,패스트푸드,85.2,60.5,40.5
3,동작구,패스트푸드,93.5,55.8,33.3
3,관악구,패스트푸드,72.2,56.5,26
3,서초구,패스트푸드,78,75.6,33.3
3,강남구,패스트푸드,78.6,50.5,38
3,송파구,패스트푸드,77.2,58,38.4
3,강동구,패스트푸드,74.3,36.4,29
4,종로구,패스트푸드,72.1,55.8,55.3
4,중구,패스트푸드,87.2,50,35.1
4,용산구,패스트푸드,76.7,64.3,43.2
4,성동구,패스트푸드,83.9,47.9,28.9
4,광진구,패스트푸드,69.8,60.5,33.3
4,동대문구,패스트푸드,82.5,69.2,43.8
4,중랑구,패스트푸드,82.9,65.5,29.2
4,성북구,패스트푸드,70.9,58.8,30
4,강북구,패스트푸드,75.6,60,46.2
4,도봉구,패스트푸드,75,56,63.6
4,노원구,패스트푸드,77.8,43.8,32.5
4,은평구,패스트푸드,76,50,35.7
4,서대문구,패스트푸드,81.1,59.4,31.3
4,마포구,패스트푸드,82.5,50,36.1
4,양천구,패스트푸드,72.3,44.1,31.3
4,강서구,패스트푸드,80,49,41.3
4,구로구,패스트푸드,85.7,39.1,37.9
4,금천구,패스트푸드,81.8,59.3,43.8
4,영등포구,패스트푸드,92.9,51.2,47.5
4,동작구,패스트푸드,97.6,52.8,36.7
4,관악구,패스트푸드,67.2,58.5,22.9
4,서초구,패스트푸드,77.8,63.6,47.1
4,강남구,패스트푸드,76.7,49.5,35.8
4,송파구,패스트푸드,75.9,56.8,32.9
4,강동구,패스트푸드,72.9,47.4,27.3
1,종로구,치킨,81,50,20
1,중구,치킨,73.3,50,29
1,용산구,치킨,80,47.6,21.4
1,성동구,치킨,80.6,39.5,36.8
1,광진구,치킨,81,45.2,23.5
1,동대문구,치킨,63.2,33.9,34.5
1,중랑구,치킨,77.3,28.1,23.7
1,성북구,치킨,72.5,30.2,26.8
1,강북구,치킨,64.4,35.6,25
1,도봉구,치킨,75.5,33.3,22
1,노원구,치킨,73.8,40.6,21.9
1,은평구,치킨,70.4,24.3,24.6
1,서대문구,치킨,74.4,31,26.5
1,마포구,치킨,74.5,35.1,28.6
1,양천구,치킨,63,45.5,25
1,강서구,치킨,67.1,45.3,25.9
1,구로구,치킨,82.6,45.1,29.2
1,금천구,치킨,80.6,52.6,20
1,영등포구,치킨,72.1,43.2,27.1
1,동작구,치킨,70.2,41.1,26.9
1,관악구,치킨,57.6,32.8,17.9
1,서초구,치킨,74.5,52.2,29.1
1,강남구,치킨,71.1,49.2,24.3
1,송파구,치킨,72.4,44.7,27.4
