분기,시군구명,서비스업종,개업수,폐업수,개업률,폐업률
4,강서구,제과제빵,8,6,2.6,2
4,구로구,제과제빵,4,5,2.4,3
4,금천구,제과제빵,7,1,6.3,0.9
4,영등포구,제과제빵,6,4,2.4,1.6
4,동작구,제과제빵,4,6,2,3
4,관악구,제과제빵,11,11,5.2,5.2
4,서초구,제과제빵,5,11,1.3,3
4,강남구,제과제빵,17,12,3.1,2.2
4,송파구,제과제빵,13,15,3.4,4
4,강동구,제과제빵,12,12,4.7,4.7
1,종로구,패스트푸드,4,4,1.5,1.5
1,중구,패스트푸드,4,4,1.7,1.7
1,용산구,패스트푸드,5,4,2.2,1.8
1,성동구,패스트푸드,5,2,2.5,1
1,광진구,패스트푸드,9,8,4,3.5
1,동대문구,패스트푸드,9,4,4.1,1.8
1,중랑구,패스트푸드,7,3,4.2,1.8
1,성북구,패스트푸드,9,6,3.8,2.5
1,강북구,패스트푸드,3,1,1.9,0.6
1,도봉구,패스트푸드,1,2,0.9,1.7
1,노원구,패스트푸드,8,12,3.2,4.8
1,은평구,패스트푸드,4,4,1.9,1.9
1,서대문구,패스트푸드,5,5,2.1,2.1
1,마포구,패스트푸드,13,7,3.3,1.8
1,양천구,패스트푸드,3,5,1.5,2.5
1,강서구,패스트푸드,12,4,3.8,1.3
1,구로구,패스트푸드,9,1,4.5,0.5
1,금천구,패스트푸드,2,5,1.5,3.8
1,영등포구,패스트푸드,11,10,4.1,3.7
1,동작구,패스트푸드,9,8,4.1,3.7
1,관악구,패스트푸드,8,11,3.1,4.3
1,서초구,패스트푸드,7,12,2.4,4.1
1,강남구,패스트푸드,14,18,2.3,2.9
1,송파구,패스트푸드,12,13,2.7,3
1,강동구,패스트푸드,8,11,3.2,4.4
2,종로구,패스트푸드,3,5,1.1,1.9
2,중구,패스트푸드,3,3,1.3,1.3
2,용산구,패스트푸드,4,3,1.8,1.3
2,성동구,패스트푸드,5,6,2.5,3
2,광진구,패스트푸드,7,12,3.2,5.4
2,동대문구,패스트푸드,3,4,1.4,1.8
2,중랑구,패스트푸드,3,4,1.8,2.4
2,성북구,패스트푸드,4,8,1.7,3.4
2,강북구,패스트푸드,2,7,1.3,4.6
2,도봉구,패스트푸드,2,6,1.8,5.4
2,노원구,패스트푸드,8,6,3.2,2.4
2,은평구,패스트푸드,8,8,3.7,3.7
2,서대문구,패스트푸드,8,6,3.3,2.5
2,마포구,패스트푸드,11,16,2.8,4.1
2,양천구,패스트푸드,5,8,2.5,4.1
2,강서구,패스트푸드,12,6,3.8,1.9
2,구로구,패스트푸드,8,5,4,2.5
2,금천구,패스트푸드,4,2,3,1.5
2,영등포구,패스트푸드,9,5,3.3,1.8
2,동작구,패스트푸드,7,4,3.2,1.8
2,관악구,패스트푸드,9,8,3.5,3.1
2,서초구,패스트푸드,6,7,2.1,2.4
2,강남구,패스트푸드,16,12,2.6,1.9
2,송파구,패스트푸드,18,15,4.1,3.4
2,강동구,패스트푸드,13,8,5.1,3.1
3,종로구,패스트푸드,2,13,0.8,5.1
3,중구,패스트푸드,10,12,4.4,5.3
3,용산구,패스트푸드,3,8,1.4,3.6
3,성동구,패스트푸드,3,8,1.5,4.1
3,광진구,패스트푸드,7,10,3.2,4.6
3,동대문구,패스트푸드,4,7,1.8,3.2
3,중랑구,패스트푸드,4,6,2.5,3.7
3,성북구,패스트푸드,5,11,2.2,4.8
3,강북구,패스트푸드,9,11,6,7.3
3,도봉구,패스트푸드,3,5,2.7,4.5
3,노원구,패스트푸드,7,10,2.8,4
3,은평구,패스트푸드,6,11,2.9,5.2
3,서대문구,패스트푸드,6,18,2.6,7.8
3,마포구,패스트푸드,14,22,3.7,5.7
3,양천구,패스트푸드,8,15,4.2,7.9
3,강서구,패스트푸드,10,20,3.2,6.5
3,구로구,패스트푸드,10,9,4.9,4.4
3,금천구,패스트푸드,9,8,6.6,5.9
3,영등포구,패스트푸드,5,13,1.9,4.9
3,동작구,패스트푸드,5,2,2.2,0.9
3,관악구,패스트푸드,10,12,3.9,4.7
3,서초구,패스트푸드,5,10,1.7,3.5
3,강남구,패스트푸드,14,25,2.3,4.1
3,송파구,패스트푸드,14,22,3.2,5.1
3,강동구,패스트푸드,10,14,4,5.6
4,종로구,패스트푸드,7,7,2.7,2.7
4,중구,패스트푸드,5,11,2.3,5
4,용산구,패스트푸드,5,6,2.3,2.7
4,성동구,패스트푸드,7,8,3.6,4.1
4,광진구,패스트푸드,6,11,2.8,5.2
4,동대문구,패스트푸드,4,6,1.9,2.8
4,중랑구,패스트푸드,7,7,4.3,4.3
4,성북구,패스트푸드,6,12,2.7,5.4
4,강북구,패스트푸드,4,6,2.7,4
4,도봉구,패스트푸드,6,4,5.4,3.6
4,노원구,패스트푸드,4,13,1.7,5.4
4,은평구,패스트푸드,8,5,3.8,2.3
4,서대문구,패스트푸드,2,7,0.9,3.1
4,마포구,패스트푸드,12,15,3.2,3.9
4,양천구,패스트푸드,7,7,3.7,3.7
4,강서구,패스트푸드,16,15,5.1,4.8
4,구로구,패스트푸드,7,7,3.4,3.4
4,금천구,패스트푸드,7,7,5.1,5.1
4,영등포구,패스트푸드,13,10,4.9,3.8
4,동작구,패스트푸드,3,6,1.4,2.7
4,관악구,패스트푸드,9,15,3.6,6
4,서초구,패스트푸드,12,9,4.2,3.1
4,강남구,패스트푸드,15,17,2.5,2.8
4,송파구,패스트푸드,18,20,4.2,4.7
4,강동구,패스트푸드,7,11,2.8,4.5
1,종로구,치킨,3,3,2.3,2.3
1,중구,치킨,2,7,1.4,4.8
1,용산구,치킨,2,3,1.5,2.2
1,성동구,치킨,4,12,2.2,6.5
1,광진구,치킨,9,5,3.9,2.2
1,동대문구,치킨,5,13,2,5.2
1,중랑구,치킨,10,13,4.1,5.4
1,성북구,치킨,12,12,5,5
1,강북구,치킨,4,9,1.9,4.3
1,도봉구,치킨,5,8,2.5,3.9
1,노원구,치킨,12,15,4.1,5.1
1,은평구,치킨,15,7,5.6,2.6
1,서대문구,치킨,10,6,5.2,3.1
