분기,시군구명,서비스업종,1년생존률,3년생존률,5년생존률
4,강서구,제과제빵,72.9,42.4,35.6
4,구로구,제과제빵,84.6,50,46.2
4,금천구,제과제빵,66.7,50,41.7
4,영등포구,제과제빵,78.4,56.9,47.1
4,동작구,제과제빵,81,52.4,35.7
4,관악구,제과제빵,77.4,38.7,32.3
4,서초구,제과제빵,75.4,56.1,40.4
4,강남구,제과제빵,73.5,51,35.7
4,송파구,제과제빵,67.4,38.9,26.3
4,강동구,제과제빵,82.2,60,44.4
1,종로구,패스트푸드,76.6,61.7,55.3
1,중구,패스트푸드,78.4,43.2,35.1
1,용산구,패스트푸드,83.8,51.4,43.2
1,성동구,패스트푸드,73.7,47.4,28.9
1,광진구,패스트푸드,73.8,45.2,31
1,동대문구,패스트푸드,84.4,50,43.8
1,중랑구,패스트푸드,83.3,50,29.2
1,성북구,패스트푸드,83.3,50,26.7
1,강북구,패스트푸드,88.5,65.4,46.2
1,도봉구,패스트푸드,81.8,72.7,63.6
1,노원구,패스트푸드,77.5,55,32.5
1,은평구,패스트푸드,69,42.9,33.3
1,서대문구,패스트푸드,75,40.6,31.3
1,마포구,패스트푸드,74.7,44.6,36.1
1,양천구,패스트푸드,78.1,50,31.3
1,강서구,패스트푸드,71.7,52.2,41.3
1,구로구,패스트푸드,79.3,58.6,37.9
1,금천구,패스트푸드,81.3,56.3,43.8
1,영등포구,패스트푸드,75,55,47.5
1,동작구,패스트푸드,73.3,46.7,36.7
1,관악구,패스트푸드,68.8,35.4,22.9
1,서초구,패스트푸드,73.5,52.9,47.1
1,강남구,패스트푸드,71.6,48.4,32.6
1,송파구,패스트푸드,72.2,45.6,32.9
1,강동구,패스트푸드,81.8,51.5,27.3
2,종로구,패스트푸드,76.6,61.7,55.3
2,중구,패스트푸드,78.4,43.2,35.1
2,용산구,패스트푸드,83.8,51.4,43.2
2,성동구,패스트푸드,73.7,47.4,28.9
2,광진구,패스트푸드,73.8,45.2,31
2,동대문구,패스트푸드,84.4,50,43.8
2,중랑구,패스트푸드,83.3,50,29.2
2,성북구,패스트푸드,83.3,50,26.7
2,강북구,패스트푸드,88.5,65.4,46.2
2,도봉구,패스트푸드,81.8,72.7,63.6
2,노원구,패스트푸드,77.5,55,32.5
2,은평구,패스트푸드,69,42.9,33.3
2,서대문구,패스트푸드,75,40.6,31.3
2,마포구,패스트푸드,74.7,44.6,36.1
2,양천구,패스트푸드,78.1,50,31.3
2,강서구,패스트푸드,71.7,52.2,41.3
2,구로구,패스트푸드,79.3,58.6,37.9
2,금천구,패스트푸드,81.3,56.3,43.8
2,영등포구,패스트푸드,75,55,47.5
2,동작구,패스트푸드,73.3,46.7,36.7
2,관악구,패스트푸드,68.8,35.4,22.9
2,서초구,패스트푸드,73.5,52.9,47.1
2,강남구,패스트푸드,71.6,48.4,32.6
2,송파구,패스트푸드,72.2,45.6,32.9
2,강동구,패스트푸드,81.8,51.5,27.3
3,종로구,패스트푸드,76.6,61.7,55.3
3,중구,패스트푸드,78.4,43.2,35.1
3,용산구,패스트푸드,83.8,51.4,43.2
3,성동구,패스트푸드,73.7,47.4,28.9
3,광진구,패스트푸드,73.8,45.2,31
3,동대문구,패스트푸드,84.4,50,43.8
3,중랑구,패스트푸드,83.3,50,29.2
3,성북구,패스트푸드,83.3,50,26.7
3,강북구,패스트푸드,88.5,65.4,46.2
3,도봉구,패스트푸드,81.8,72.7,63.6
3,노원구,패스트푸드,77.5,55,32.5
3,은평구,패스트푸드,69,42.9,33.3
3,서대문구,패스트푸드,75,40.6,31.3
3,마포구,패스트푸드,74.7,44.6,36.1
3,양천구,패스트푸드,78.1,50,31.3
3,강서구,패스트푸드,71.7,52.2,41.3
3,구로구,패스트푸드,79.3,58.6,37.9
3,금천구,패스트푸드,81.3,56.3,43.8
3,영등포구,패스트푸드,75,55,47.5
3,동작구,패스트푸드,73.3,46.7,36.7
3,관악구,패스트푸드,68.8,35.4,22.9
3,서초구,패스트푸드,73.5,52.9,47.1
3,강남구,패스트푸드,71.6,48.4,32.6
3,송파구,패스트푸드,72.2,45.6,32.9
3,강동구,패스트푸드,81.8,51.5,27.3
4,종로구,패스트푸드,76.6,61.7,55.3
4,중구,패스트푸드,78.4,43.2,35.1
4,용산구,패스트푸드,83.8,51.4,43.2
4,성동구,패스트푸드,73.7,47.4,28.9
4,광진구,패스트푸드,73.8,45.2,31
4,동대문구,패스트푸드,84.4,50,43.8
4,중랑구,패스트푸드,83.3,50,29.2
4,성북구,패스트푸드,83.3,50,26.7
4,강북구,패스트푸드,88.5,65.4,46.2
4,도봉구,패스트푸드,81.8,72.7,63.6
4,노원구,패스트푸드,77.5,55,32.5
4,은평구,패스트푸드,69,42.9,33.3
4,서대문구,패스트푸드,75,40.6,31.3
4,마포구,패스트푸드,74.7,44.6,36.1
4,양천구,패스트푸드,78.1,50,31.3
4,강서구,패스트푸드,71.7,52.2,41.3
4,구로구,패스트푸드,79.3,58.6,37.9
4,금천구,패스트푸드,81.3,56.3,43.8
4,영등포구,패스트푸드,75,55,47.5
4,동작구,패스트푸드,73.3,46.7,36.7
4,관악구,패스트푸드,68.8,35.4,22.9
4,서초구,패스트푸드,73.5,52.9,47.1
4,강남구,패스트푸드,71.6,48.4,32.6
4,송파구,패스트푸드,72.2,45.6,32.9
4,강동구,패스트푸드,81.8,51.5,27.3
1,종로구,치킨,70.6,47.1,29.4
1,중구,치킨,76,40,20
1,용산구,치킨,64.3,50,35.7
1,성동구,치킨,64.5,29,22.6
1,광진구,치킨,76.7,48.8,27.9
1,동대문구,치킨,77.2,50.9,43.9
1,중랑구,치킨,47.9,31.3,27.1
1,성북구,치킨,60.5,39.5,27.9
1,강북구,치킨,65,40,32.5
1,도봉구,치킨,75,46.9,37.5
